TIMESTAMP,ContextTokens,GeneratedTokens
2024-05-10 00:00:10.082743+00:00,1858,5
2024-05-10 00:00:10.154939+00:00,288,14
2024-05-10 00:00:10.788655+00:00,1728,2
2024-05-10 00:00:10.902218+00:00,288,16
2024-05-10 00:00:11.016125+00:00,1706,277
2024-05-10 00:00:11.025220+00:00,931,23
2024-05-10 00:00:11.257255+00:00,1032,106
2024-05-10 00:00:11.267205+00:00,679,40
2024-05-10 00:00:11.331767+00:00,1026,6
2024-05-10 00:00:11.537954+00:00,1103,54
2024-05-10 00:00:11.584888+00:00,1862,16
2024-05-10 00:00:11.756558+00:00,1034,61
2024-05-10 00:00:11.787213+00:00,1103,8
2024-05-10 00:00:11.881238+00:00,1390,9
2024-05-10 00:00:11.907697+00:00,655,12
2024-05-10 00:00:12.005722+00:00,1035,9
2024-05-10 00:00:12.042820+00:00,961,22
2024-05-10 00:00:12.082032+00:00,1482,7
2024-05-10 00:00:12.082928+00:00,1391,4
2024-05-10 00:00:12.289024+00:00,1103,61
2024-05-10 00:00:12.518318+00:00,699,17
2024-05-10 00:00:13.009549+00:00,1246,1
2024-05-10 00:00:13.038334+00:00,1135,16
2024-05-10 00:00:13.132748+00:00,1393,59
2024-05-10 00:00:13.287532+00:00,104,14
2024-05-10 00:00:13.509196+00:00,1633,17
2024-05-10 00:00:13.509916+00:00,1246,25
2024-05-10 00:00:13.523985+00:00,317,31
2024-05-10 00:00:13.631565+00:00,577,12
2024-05-10 00:00:13.755290+00:00,620,5
2024-05-10 00:00:13.767373+00:00,12,6
2024-05-10 00:00:13.832923+00:00,1062,18
2024-05-10 00:00:13.881698+00:00,73,10
2024-05-10 00:00:13.901751+00:00,1296,16
2024-05-10 00:00:14.007861+00:00,1037,59
2024-05-10 00:00:14.019637+00:00,12,10
2024-05-10 00:00:14.036875+00:00,1098,51
2024-05-10 00:00:14.085383+00:00,1483,1
2024-05-10 00:00:14.131541+00:00,1630,10
2024-05-10 00:00:14.133178+00:00,1509,3
2024-05-10 00:00:14.257475+00:00,1247,1
2024-05-10 00:00:14.258086+00:00,620,5
2024-05-10 00:00:14.287717+00:00,1104,17
2024-05-10 00:00:14.290462+00:00,104,30
2024-05-10 00:00:14.402053+00:00,1298,17
2024-05-10 00:00:14.517442+00:00,13,1
2024-05-10 00:00:14.583466+00:00,1483,1
2024-05-10 00:00:14.767664+00:00,1820,9
2024-05-10 00:00:14.787275+00:00,1103,12
2024-05-10 00:00:14.832447+00:00,1877,3
2024-05-10 00:00:14.834271+00:00,1395,9
2024-05-10 00:00:15.022248+00:00,13,15
2024-05-10 00:00:15.023000+00:00,1838,9
2024-05-10 00:00:15.152153+00:00,1299,6
2024-05-10 00:00:15.259725+00:00,1247,53
2024-05-10 00:00:15.401225+00:00,356,5
2024-05-10 00:00:15.638228+00:00,74,17
2024-05-10 00:00:15.759442+00:00,1248,34
2024-05-10 00:00:15.835497+00:00,939,15
2024-05-10 00:00:15.883945+00:00,1783,15
2024-05-10 00:00:15.900428+00:00,1018,12
2024-05-10 00:00:16.017355+00:00,13,31
2024-05-10 00:00:16.082161+00:00,1254,11
2024-05-10 00:00:16.151561+00:00,1018,15
2024-05-10 00:00:16.511689+00:00,1247,41
2024-05-10 00:00:16.639296+00:00,449,1
2024-05-10 00:00:16.650373+00:00,1018,19
2024-05-10 00:00:16.652028+00:00,1299,9
2024-05-10 00:00:16.832376+00:00,1069,11
2024-05-10 00:00:16.836191+00:00,1397,10
2024-05-10 00:00:16.893736+00:00,75,16
2024-05-10 00:00:17.010402+00:00,1248,23
2024-05-10 00:00:17.038926+00:00,1106,16
2024-05-10 00:00:17.081960+00:00,705,12
2024-05-10 00:00:17.144601+00:00,293,1
2024-05-10 00:00:17.151374+00:00,636,3
2024-05-10 00:00:17.258061+00:00,1248,22
2024-05-10 00:00:17.517109+00:00,12,4
2024-05-10 00:00:17.583355+00:00,1254,17
2024-05-10 00:00:17.646488+00:00,293,106
2024-05-10 00:00:17.652661+00:00,1300,8
2024-05-10 00:00:17.832221+00:00,1439,10
2024-05-10 00:00:18.017733+00:00,12,22
2024-05-10 00:00:18.151524+00:00,1225,2
2024-05-10 00:00:18.260477+00:00,1232,31
2024-05-10 00:00:18.332730+00:00,560,16
2024-05-10 00:00:18.333165+00:00,1070,11
2024-05-10 00:00:18.401132+00:00,638,6
2024-05-10 00:00:18.505561+00:00,159,1
2024-05-10 00:00:18.542170+00:00,1109,13
2024-05-10 00:00:18.584141+00:00,559,18
2024-05-10 00:00:18.585899+00:00,1440,19
2024-05-10 00:00:18.652237+00:00,1301,26
2024-05-10 00:00:18.760276+00:00,159,1
2024-05-10 00:00:18.761188+00:00,1233,19
2024-05-10 00:00:18.833885+00:00,1486,15
2024-05-10 00:00:18.888382+00:00,78,17
2024-05-10 00:00:18.905775+00:00,638,5
2024-05-10 00:00:19.004215+00:00,159,1
2024-05-10 00:00:19.083845+00:00,559,18
2024-05-10 00:00:19.155241+00:00,1302,22
2024-05-10 00:00:19.257594+00:00,159,18
2024-05-10 00:00:19.267137+00:00,16,20
2024-05-10 00:00:19.400452+00:00,1214,9
2024-05-10 00:00:19.519068+00:00,408,50
2024-05-10 00:00:19.652266+00:00,218,16
2024-05-10 00:00:19.759926+00:00,1236,26
2024-05-10 00:00:19.893031+00:00,666,8
2024-05-10 00:00:19.901094+00:00,1305,1
2024-05-10 00:00:20.012588+00:00,386,9
2024-05-10 00:00:20.020085+00:00,1357,23
2024-05-10 00:00:20.083247+00:00,1908,38
2024-05-10 00:00:20.150894+00:00,295,58
2024-05-10 00:00:20.152043+00:00,1214,9
2024-05-10 00:00:20.153363+00:00,1305,25
2024-05-10 00:00:20.260220+00:00,1117,78
2024-05-10 00:00:20.269882+00:00,1358,1
2024-05-10 00:00:20.293180+00:00,1110,12
2024-05-10 00:00:20.335101+00:00,709,1
2024-05-10 00:00:20.335397+00:00,1487,1
2024-05-10 00:00:20.402120+00:00,1305,1
2024-05-10 00:00:20.517186+00:00,17,2
2024-05-10 00:00:20.542682+00:00,385,19
2024-05-10 00:00:20.583996+00:00,1908,27
2024-05-10 00:00:20.587513+00:00,709,1
2024-05-10 00:00:20.588690+00:00,709,5
2024-05-10 00:00:20.833809+00:00,1908,14
2024-05-10 00:00:20.833992+00:00,1255,18
2024-05-10 00:00:20.901961+00:00,1306,1
2024-05-10 00:00:20.903243+00:00,216,14
2024-05-10 00:00:21.017461+00:00,17,16
2024-05-10 00:00:21.044173+00:00,1110,12
2024-05-10 00:00:21.086029+00:00,1034,20
2024-05-10 00:00:21.292308+00:00,1525,9
2024-05-10 00:00:21.293960+00:00,385,21
2024-05-10 00:00:21.401954+00:00,1218,22
2024-05-10 00:00:21.403983+00:00,1308,1
2024-05-10 00:00:21.404694+00:00,74,1
2024-05-10 00:00:21.404967+00:00,1309,1
2024-05-10 00:00:21.543184+00:00,1889,5
2024-05-10 00:00:21.584475+00:00,1489,1
2024-05-10 00:00:21.650333+00:00,637,2
2024-05-10 00:00:21.767010+00:00,1037,29
2024-05-10 00:00:21.803919+00:00,1110,18
2024-05-10 00:00:21.832592+00:00,1077,4
2024-05-10 00:00:21.906937+00:00,636,3
2024-05-10 00:00:22.004409+00:00,1589,4
2024-05-10 00:00:22.017432+00:00,1037,14
2024-05-10 00:00:22.043959+00:00,1891,9
2024-05-10 00:00:22.081780+00:00,1490,1
2024-05-10 00:00:22.153275+00:00,74,4
2024-05-10 00:00:22.266993+00:00,1037,5
2024-05-10 00:00:22.271925+00:00,338,14
2024-05-10 00:00:22.397778+00:00,296,80
2024-05-10 00:00:22.400947+00:00,74,6
2024-05-10 00:00:22.592390+00:00,1486,7
2024-05-10 00:00:22.651596+00:00,1414,1
2024-05-10 00:00:22.756773+00:00,418,12
2024-05-10 00:00:22.792540+00:00,1893,3
2024-05-10 00:00:22.831951+00:00,1255,17
2024-05-10 00:00:22.901185+00:00,1219,20
2024-05-10 00:00:22.903033+00:00,1315,1
2024-05-10 00:00:22.903159+00:00,76,5
2024-05-10 00:00:22.903721+00:00,1414,2
2024-05-10 00:00:23.017911+00:00,1037,71
2024-05-10 00:00:23.040179+00:00,1893,3
2024-05-10 00:00:23.266384+00:00,17,1
2024-05-10 00:00:23.266643+00:00,504,13
2024-05-10 00:00:23.267570+00:00,706,15
2024-05-10 00:00:23.381628+00:00,1045,3
2024-05-10 00:00:23.400304+00:00,1315,28
2024-05-10 00:00:23.542005+00:00,932,10
2024-05-10 00:00:23.582156+00:00,1489,4
2024-05-10 00:00:23.651145+00:00,1415,2
2024-05-10 00:00:23.768100+00:00,17,16
